City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Biak,ID,24.92,moderate rain,-0.9131,122.8766,Penginapan Kim
6,Vaini,TO,25.09,few clouds,-21.2,-175.2,Keleti Beach Resort
7,Espumoso,BR,19.66,clear sky,-28.7247,-52.8497,Rotta Hotel
8,Kapaa,US,23.99,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Cidreira,BR,18.78,overcast clouds,-30.1811,-50.2056,Hotel Castelo
12,San Cristobal,VE,27.1,overcast clouds,7.7669,-72.225,Pirineos
21,Santa Cruz De La Palma,ES,21.19,clear sky,28.6835,-17.7642,H10 Taburiente Playa
25,Carutapera,BR,26.86,moderate rain,-1.195,-46.02,Lidera
26,Teahupoo,PF,23.98,light rain,-17.8333,-149.2667,Vanira Lodge
28,Labrea,BR,26.94,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
29,Lompoc,US,20.47,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
30,Kavaratti,IN,28.52,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
32,Tupelo,US,25.16,clear sky,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
36,Tete,MZ,27.09,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
40,Hamilton,US,22.02,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
41,Butaritari,KI,27.1,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
42,Broome,US,18.11,overcast clouds,42.2506,-75.833,Chenango Valley State Park
45,Kahului,US,25.01,few clouds,20.8947,-156.47,Maui Seaside Hotel
47,Sechura,PE,27.12,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
49,Kindu,CD,20.72,overcast clouds,-2.95,25.95,Résidence Okanda
50,Jasper,US,20.38,thunderstorm,37.2001,-94.3502,Guest House Motel
51,Dong Hoi,VN,24.33,scattered clouds,17.4833,106.6,Nam Long Hotel
52,Carnarvon,AU,25.04,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
53,Atuona,PF,25.82,light rain,-9.8,-139.0333,Villa Enata
54,Georgetown,MY,27.96,few clouds,5.4112,100.3354,Cititel Penang
55,Dicabisagan,PH,24.17,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
57,Faanui,PF,27.56,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
59,Ternate,ID,27.21,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
62,Rikitea,PF,25.36,clear sky,-23.1203,-134.9692,People ThankYou
63,Laguna,US,18.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
66,Richards Bay,ZA,21.28,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
71,Dolores,AR,21.12,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
75,Andover,GB,19.03,few clouds,51.2083,-1.4825,Premier Inn Andover hotel
78,Pandan,PH,25.56,broken clouds,14.0453,124.1694,Bonifacio Lodge
79,Arraial Do Cabo,BR,24.92,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
80,Quatre Cocos,MU,23.38,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
81,Comodoro Rivadavia,AR,20.92,clear sky,-45.8667,-67.5,Austral Hotel
82,Dwarka,IN,26.81,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
83,Tura,IN,24.09,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
86,Acapulco,MX,28.9,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
88,Ambanja,MG,25.48,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
92,Mar Del Plata,AR,20.01,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
93,Requena,ES,18.07,clear sky,39.4883,-1.1004,Hotel Avenida
94,Caravelas,BR,24.92,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
95,Saint George,US,21.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
97,Yulara,AU,23.78,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
99,Endicott,US,18.53,overcast clouds,42.0984,-76.0494,Knights Inn Endwell
100,Dingle,PH,24.36,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
102,Souillac,MU,24.71,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
104,Sines,PT,19.05,scattered clouds,37.9562,-8.8698,Hotel Sinerama
105,Puerto Ayora,EC,26.98,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
107,Hilo,US,26.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
108,Port Augusta,AU,18.53,clear sky,-32.5,137.7667,Majestic Oasis Apartments
111,Necochea,AR,19.7,clear sky,-38.5473,-58.7368,dyd -mar Hotel
113,Morondava,MG,27.85,few clouds,-20.2833,44.2833,La Case Bambou
114,Chuy,UY,20.2,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
116,Avarua,CK,23.03,clear sky,-21.2078,-159.775,Paradise Inn
117,Moron,AR,21.64,clear sky,-34.6534,-58.6198,Hotel Morón
127,Puerto Ayacucho,VE,27.63,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
129,Hithadhoo,MV,28.59,scattered clouds,-0.6,73.0833,Scoop Guest House
130,Mana,GF,28.21,overcast clouds,5.6592,-53.7767,LE SAMANA
134,Tautira,PF,27.18,few clouds,-17.7333,-149.15,Pension Oaoa
139,Sungai Petani,MY,27.93,overcast clouds,5.647,100.4877,Swiss-Inn Sungai Petani
142,Victoria,HK,23.43,broken clouds,22.2855,114.1577,Mini Hotel Central
154,Port Lincoln,AU,18.79,clear sky,-34.7333,135.8667,Port Lincoln Hotel
155,Tres Arroyos,AR,19.97,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
161,Vila Velha,BR,26.97,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
162,Labuan,MY,26.98,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
167,Palmer,US,19.36,few clouds,42.1584,-72.3287,Wedgewood Motel
171,Westport,US,21.27,clear sky,41.1415,-73.3579,The Inn at Longshore
175,Rocha,UY,19.96,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
176,Prado,BR,25.46,moderate rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
180,Mahebourg,MU,24.16,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
184,Mersing,MY,25.77,broken clouds,2.4312,103.8405,Timotel Hotel
186,Komsomolskiy,UZ,22.39,clear sky,40.4272,71.7189,Ikathouse
189,Binabalian,PH,27.64,broken clouds,16.4202,119.9279,Sundowners Vacation Villas
193,San Patricio,US,26.97,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
194,Honiara,SB,25.16,overcast clouds,-9.4333,159.95,Heritage Park Hotel
196,Kapit,MY,22.97,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
202,Suez,EG,18.78,scattered clouds,29.9737,32.5263,Green House
203,Mitsamiouli,KM,28.28,light rain,-11.3847,43.2844,Foyer ADM
209,Caloundra,AU,18.27,broken clouds,-26.8,153.1333,Watermark Resort Caloundra
210,Mairana,BO,19.89,few clouds,-18.1167,-63.9333,Mi Terruño
214,Chambersburg,US,21.14,clear sky,39.9376,-77.6611,"Holiday Inn Express & Suites Chambersburg, an IHG Hotel"
216,Kununurra,AU,24.99,scattered clouds,-15.7667,128.7333,Hotel Kununurra
217,Lexington,US,21.27,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
218,Bethel,US,20.02,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
221,Pouembout,NC,21.86,overcast clouds,-21.1333,164.9,Camping de Tipenga
224,Manokwari,ID,25.8,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
226,Marau,BR,18.12,clear sky,-28.4492,-52.2,Hotel Pousada Tordilho Negro
229,Pitimbu,BR,28.88,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
230,Kailua,US,25.99,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
231,Hualmay,PE,22.48,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
233,Naron,ES,18.71,clear sky,43.5167,-8.1528,Marcial
234,Lagunas,PE,24.68,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
235,Soyo,AO,24.69,moderate rain,-6.1349,12.3689,Hotel Mpampa
241,Bambous Virieux,MU,24.14,light rain,-20.3428,57.7575,Casa Tia Villa
242,Guerrero Negro,MX,18.41,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
243,Bandarbeyla,SO,28.06,overcast clouds,9.4942,50.8122,JABIR HOTEL
245,Araguari,BR,27.12,few clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
246,Rawson,AR,25.96,clear sky,-43.3002,-65.1023,Hosteria Sampedro
248,Watertown,US,20.03,clear sky,42.3709,-71.1828,16 Washburn Street Watertown MA
250,Sao Joao Da Barra,BR,25.05,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
251,Umm Lajj,SA,25.12,clear sky,25.0213,37.2685,Moon light Furnished Units
252,Lethem,GY,26.76,overcast clouds,3.3803,-59.7968,Savannah Inn
253,Nouadhibou,MR,18.99,clear sky,20.931,-17.0347,El Medina
254,Mount Isa,AU,20.87,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
256,Los Llanos De Aridane,ES,18.96,clear sky,28.6585,-17.9182,Valle Aridane
265,Kutum,SD,27.76,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
267,Kupang,ID,26.18,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
268,Hervey Bay,AU,20.65,broken clouds,-25.2986,152.8535,Shelly Bay Resort
270,Hambantota,LK,27.57,few clouds,6.1241,81.1185,Bungalow 63
275,Porto Novo,BJ,28.25,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
276,Broken Hill,AU,18.46,clear sky,-31.95,141.4333,Royal Exchange Hotel
281,Guiratinga,BR,26.84,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
283,Sungaipenuh,ID,19.08,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
288,Wanning,CN,24.63,scattered clouds,18.8003,110.3967,Paradise Hotel
289,Tutoia,BR,28.49,broken clouds,-2.7619,-42.2744,Pousada Guará's
290,Mwinilunga,ZM,18.27,light rain,-11.7358,24.4293,Kwakuwahi Lodge
293,Sao Filipe,CV,21.43,clear sky,14.8961,-24.4956,Hotel Xaguate
294,Ranong,TH,26.31,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
296,Muscle Shoals,US,24.17,broken clouds,34.7448,-87.6675,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
297,Castro,BR,19.36,clear sky,-24.7911,-50.0119,CHACARA BAILLY
298,Itumbiara,BR,28.57,scattered clouds,-18.4192,-49.2153,Itumbiara Palace Hotel
303,Qui Nhon,VN,25.26,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
309,Neuquen,AR,25.78,clear sky,-38.9516,-68.0591,Hotel del Comahue
