City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,2022-04-15 18:08:19,-33.65,115.3333,14.5,91,18,3.0,few clouds
1,Harbour Breton,CA,2022-04-15 18:08:19,47.4833,-55.7983,3.87,75,70,2.28,broken clouds
2,Biak,ID,2022-04-15 18:08:20,-0.9131,122.8766,24.92,83,95,0.86,moderate rain
3,Luderitz,NA,2022-04-15 18:08:20,-26.6481,15.1594,15.94,67,0,11.56,clear sky
4,Kaitangata,NZ,2022-04-15 18:08:21,-46.2817,169.8464,15.13,57,82,6.1,broken clouds
5,Mataura,NZ,2022-04-15 18:05:15,-46.1927,168.8643,11.38,79,93,5.31,light rain
6,Vaini,TO,2022-04-15 18:08:21,-21.2,-175.2,25.09,94,20,1.54,few clouds
7,Espumoso,BR,2022-04-15 18:08:21,-28.7247,-52.8497,19.66,51,0,3.09,clear sky
8,Kapaa,US,2022-04-15 18:08:22,22.0752,-159.319,23.99,83,40,6.69,scattered clouds
9,Cape Town,ZA,2022-04-15 18:04:31,-33.9258,18.4232,16.86,61,17,4.92,few clouds
10,Cidreira,BR,2022-04-15 18:08:22,-30.1811,-50.2056,18.78,65,99,3.81,overcast clouds
11,Timmins,CA,2022-04-15 18:08:23,48.4669,-81.3331,-1.1,86,100,4.12,light snow
12,San Cristobal,VE,2022-04-15 18:05:48,7.7669,-72.225,27.1,58,92,2.78,overcast clouds
13,Barrow,US,2022-04-15 18:05:55,71.2906,-156.7887,-18.99,78,0,9.77,haze
14,Hobart,AU,2022-04-15 18:08:23,-42.8794,147.3294,11.92,74,100,2.06,overcast clouds
15,Colac,AU,2022-04-15 18:08:24,-38.3333,143.5833,15.46,93,84,1.08,broken clouds
16,Upernavik,GL,2022-04-15 18:08:24,72.7868,-56.1549,-19.95,89,23,5.68,few clouds
17,Udachnyy,RU,2022-04-15 18:08:25,66.4167,112.4,-23.38,100,47,1.01,scattered clouds
18,Parabel,RU,2022-04-15 18:08:25,58.6978,81.4825,3.66,100,100,2.88,overcast clouds
19,Saldanha,ZA,2022-04-15 18:08:25,-33.0117,17.9442,15.92,57,0,8.29,clear sky
20,Ilulissat,GL,2022-04-15 18:08:26,69.2167,-51.1,-8.99,53,75,3.09,broken clouds
21,Santa Cruz De La Palma,ES,2022-04-15 18:08:26,28.6835,-17.7642,21.19,64,0,6.69,clear sky
22,Bredasdorp,ZA,2022-04-15 18:08:26,-34.5322,20.0403,13.18,62,36,3.32,scattered clouds
23,Albany,US,2022-04-15 18:06:17,42.6001,-73.9662,19.21,21,18,2.24,few clouds
24,Plon,DE,2022-04-15 18:08:27,54.1667,10.4167,7.79,89,97,4.49,overcast clouds
25,Carutapera,BR,2022-04-15 18:08:27,-1.195,-46.02,26.86,88,72,3.12,moderate rain
26,Teahupoo,PF,2022-04-15 18:08:28,-17.8333,-149.2667,23.98,72,22,7.6,light rain
27,High Level,CA,2022-04-15 18:05:05,58.5169,-117.136,-3.85,78,99,2.12,overcast clouds
28,Labrea,BR,2022-04-15 18:08:28,-7.2586,-64.7981,26.94,86,99,1.26,overcast clouds
29,Lompoc,US,2022-04-15 18:08:29,34.6391,-120.4579,20.47,65,0,6.71,clear sky
30,Kavaratti,IN,2022-04-15 18:08:29,10.5669,72.642,28.52,73,47,1.0,scattered clouds
31,Punta Arenas,CL,2022-04-15 18:04:21,-53.15,-70.9167,11.06,76,75,8.23,broken clouds
32,Tupelo,US,2022-04-15 18:06:20,34.2576,-88.7034,25.16,18,0,7.2,clear sky
33,Coihaique,CL,2022-04-15 18:08:29,-45.5752,-72.0662,15.34,72,75,2.57,broken clouds
34,Hermanus,ZA,2022-04-15 18:08:30,-34.4187,19.2345,12.11,61,28,7.13,scattered clouds
35,Port Elizabeth,ZA,2022-04-15 18:08:30,-33.918,25.5701,16.17,71,64,0.45,broken clouds
36,Tete,MZ,2022-04-15 18:08:31,-16.1564,33.5867,27.09,68,47,1.91,scattered clouds
37,Dhidhdhoo,MV,2022-04-15 18:08:31,6.8833,73.1,29.18,71,6,3.68,clear sky
38,Narsaq,GL,2022-04-15 18:08:31,60.9167,-46.05,0.12,60,81,1.28,broken clouds
39,Egvekinot,RU,2022-04-15 18:08:32,66.3167,-179.1667,-8.6,85,96,8.63,overcast clouds
40,Hamilton,US,2022-04-15 18:05:03,39.1834,-84.5333,22.02,21,0,10.8,clear sky
41,Butaritari,KI,2022-04-15 18:08:32,3.0707,172.7902,27.1,73,96,2.49,overcast clouds
42,Broome,US,2022-04-15 18:08:33,42.2506,-75.833,18.11,29,100,7.72,overcast clouds
43,Oistins,BB,2022-04-15 18:05:44,13.0667,-59.5333,29.05,65,40,9.26,scattered clouds
44,Alekseyevka,RU,2022-04-15 18:08:33,50.6309,38.6903,11.51,58,97,1.7,overcast clouds
45,Kahului,US,2022-04-15 18:07:55,20.8947,-156.47,25.01,69,20,7.72,few clouds
46,Papara,BR,2022-04-15 18:09:34,-3.9839,-38.7273,30.22,72,79,2.5,broken clouds
47,Sechura,PE,2022-04-15 18:09:34,-5.5569,-80.8222,27.12,53,52,6.63,broken clouds
48,Havre-Saint-Pierre,CA,2022-04-15 18:09:34,50.2334,-63.5986,1.2,100,100,6.17,overcast clouds
49,Kindu,CD,2022-04-15 18:09:35,-2.95,25.95,20.72,100,100,0.22,overcast clouds
50,Jasper,US,2022-04-15 18:08:28,37.2001,-94.3502,20.38,57,100,3.6,thunderstorm
51,Dong Hoi,VN,2022-04-15 18:09:35,17.4833,106.6,24.33,97,29,3.08,scattered clouds
52,Carnarvon,AU,2022-04-15 18:05:45,-24.8667,113.6333,25.04,61,53,5.66,broken clouds
53,Atuona,PF,2022-04-15 18:05:58,-9.8,-139.0333,25.82,78,19,6.92,light rain
54,Georgetown,MY,2022-04-15 18:05:28,5.4112,100.3354,27.96,89,20,0.0,few clouds
55,Dicabisagan,PH,2022-04-15 18:09:36,17.0818,122.4157,24.17,90,92,3.21,overcast clouds
56,Plettenberg Bay,ZA,2022-04-15 18:09:36,-34.0527,23.3716,14.76,65,98,2.09,overcast clouds
57,Faanui,PF,2022-04-15 18:09:37,-16.4833,-151.75,27.56,72,7,8.06,clear sky
58,Hasaki,JP,2022-04-15 18:09:37,35.7333,140.8333,8.22,89,100,14.45,overcast clouds
59,Ternate,ID,2022-04-15 18:09:37,0.8,127.4,27.21,80,75,2.18,broken clouds
60,Cherskiy,RU,2022-04-15 18:09:38,68.75,161.3,-16.86,100,90,0.78,overcast clouds
61,Qaanaaq,GL,2022-04-15 18:09:38,77.484,-69.3632,-18.28,90,100,1.83,overcast clouds
62,Rikitea,PF,2022-04-15 18:09:39,-23.1203,-134.9692,25.36,70,0,7.31,clear sky
63,Laguna,US,2022-04-15 18:09:39,38.421,-121.4238,18.02,68,0,3.6,clear sky
64,Port Hardy,CA,2022-04-15 18:09:39,50.6996,-127.4199,6.29,60,85,2.69,overcast clouds
65,Jumla,NP,2022-04-15 18:09:40,29.2747,82.1838,8.83,49,48,2.76,scattered clouds
66,Richards Bay,ZA,2022-04-15 18:09:40,-28.783,32.0377,21.28,89,62,9.96,light rain
67,Fukue,JP,2022-04-15 18:09:41,32.6881,128.8419,13.24,67,73,11.81,broken clouds
68,Kysyl-Syr,RU,2022-04-15 18:09:41,63.8986,122.7617,-8.58,90,92,3.58,overcast clouds
69,Belaya Gora,RU,2022-04-15 18:09:41,68.5333,146.4167,-13.65,97,100,1.37,overcast clouds
70,Ribeira Grande,PT,2022-04-15 18:09:42,38.5167,-28.7,16.22,77,75,7.2,broken clouds
71,Dolores,AR,2022-04-15 18:09:42,-36.3132,-57.6792,21.12,40,0,2.66,clear sky
72,Thompson,CA,2022-04-15 18:09:43,55.7435,-97.8558,-5.72,61,100,6.29,overcast clouds
73,Rohru,IN,2022-04-15 18:09:43,31.2167,77.75,12.35,69,91,2.22,overcast clouds
74,Ushuaia,AR,2022-04-15 18:09:43,-54.8,-68.3,10.39,77,91,1.31,overcast clouds
75,Andover,GB,2022-04-15 18:07:03,51.2083,-1.4825,19.03,82,17,2.7,few clouds
76,Marsaxlokk,MT,2022-04-15 18:09:44,35.8419,14.5431,15.04,94,20,7.72,light rain
77,Hofn,IS,2022-04-15 18:09:44,64.2539,-15.2082,7.45,95,69,1.68,broken clouds
78,Pandan,PH,2022-04-15 18:09:44,14.0453,124.1694,25.56,80,53,2.77,broken clouds
79,Arraial Do Cabo,BR,2022-04-15 18:09:45,-22.9661,-42.0278,24.92,57,40,6.69,scattered clouds
80,Quatre Cocos,MU,2022-04-15 18:09:45,-20.2078,57.7625,23.38,80,42,8.78,light rain
81,Comodoro Rivadavia,AR,2022-04-15 18:09:46,-45.8667,-67.5,20.92,35,0,10.29,clear sky
82,Dwarka,IN,2022-04-15 18:09:46,22.2394,68.9678,26.81,81,1,6.29,clear sky
83,Tura,IN,2022-04-15 18:09:46,25.5198,90.2201,24.09,91,2,5.3,clear sky
84,San Andres,CO,2022-04-15 18:09:47,12.5847,-81.7006,30.01,66,20,6.69,few clouds
85,Kodiak,US,2022-04-15 18:09:47,57.79,-152.4072,3.73,87,100,3.6,moderate rain
86,Acapulco,MX,2022-04-15 18:09:48,16.8634,-99.8901,28.9,74,75,5.14,broken clouds
87,Yellowknife,CA,2022-04-15 18:09:48,62.456,-114.3525,-8.02,48,100,4.47,overcast clouds
88,Ambanja,MG,2022-04-15 18:09:48,-13.6833,48.45,25.48,90,55,0.93,broken clouds
89,Waipawa,NZ,2022-04-15 18:09:48,-41.4122,175.5153,11.82,82,8,6.8,clear sky
90,Beringovskiy,RU,2022-04-15 18:09:49,63.05,179.3167,-0.84,98,100,9.81,snow
91,Ciudad Bolivar,VE,2022-04-15 18:09:49,8.1222,-63.5497,36.84,30,76,4.49,broken clouds
92,Mar Del Plata,AR,2022-04-15 18:04:52,-38.0023,-57.5575,20.01,78,0,7.15,clear sky
93,Requena,ES,2022-04-15 18:09:50,39.4883,-1.1004,18.07,53,8,2.47,clear sky
94,Caravelas,BR,2022-04-15 18:10:50,-17.7125,-39.2481,24.92,89,79,7.19,broken clouds
